Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"14/09/2022 16:00:01","13/09/2022","Calorific Value, LDZ(SC)","40.0000","14/09/2022 16:03:42",""
"14/09/2022 16:00:01","12/09/2022","Calorific Value, LDZ(EA)","39.7000","14/09/2022 16:03:42",""
"14/09/2022 16:00:01","12/09/2022","Calorific Value, LDZ(NE)","39.8000","14/09/2022 16:03:42",""
"14/09/2022 16:00:01","12/09/2022","Calorific Value, LDZ(NO)","40.1000","14/09/2022 16:03:42",""
"14/09/2022 16:00:01","11/09/2022","Calorific Value, LDZ(EA)","39.5000","14/09/2022 16:03:42",""
"14/09/2022 16:00:01","11/09/2022","Calorific Value, LDZ(NO)","40.2000","14/09/2022 16:03:42",""
"14/09/2022 16:00:01","10/09/2022","Calorific Value, LDZ(NO)","40.5000","14/09/2022 16:03:42",""
"14/09/2022 16:00:01","09/09/2022","Calorific Value, LDZ(NO)","40.5000","14/09/2022 16:03:42",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(EA)","39.7000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(EM)","40.0000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(NE)","39.8000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(NO)","40.1000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(NT)","39.7000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(NW)","39.9000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(SC)","40.0000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(SE)","39.1000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(SO)","39.9000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(SW)","39.3000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(WM)","39.8000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(WN)","40.0000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","14/09/2022","Calorific Value, LDZ(WS)","39.3000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, Campbeltown","38.8000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(EA)","39.9000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(EM)","40.0000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(NE)","38.0000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(NO)","40.0000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(NT)","39.9000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(NW)","39.9000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(SC)","38.0000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(SE)","39.0000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(SO)","40.0000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(SW)","39.3000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(WM)","39.8000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(WN)","40.0000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, LDZ(WS)","39.3000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, Oban","38.8000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, Stornoway","93.0000","14/09/2022 10:32:50",""
"14/09/2022 10:30:01","13/09/2022","Calorific Value, Stranraer","38.8000","14/09/2022 10:32:50",""
